Name,Phone,Email,Website,Category
KITCHEN FITTINGS & ACCESSORIES,021 939 8120,N/A,N/A,N/A
KITCHEN FITTINGS & ACCESSORIES,011 4741183,N/A,N/A,kitchen units
KITCHEN FITTINGS & ACCESSORIES,"011 447 4402, 011 447 4405",N/A,N/A,N/A
EVENT ORGANISERS,"011 8059350, 011 8059356",info@dng.co.za,http://www.dng.co.za,event organisers &/or services
GASKETS,"011 8654347, 082 9251497, 011 8654336",gasketman@mweb.co.za,N/A,gaskets
Gas,"082 8070207, 084 7005030, 0866 157292",tim@redlionworx.com,http://www.redlionworx.co.za,gas installations
Surface Mining Process Equipment,"011 9231000, 011 9231111",info@komatsu.co.za,http://www.komatsu.co.za,N/A
Cleaning Services,"011 4415300, 011 4405657",pwelchman@fedics.co.za,http://www.tsebo.co.za,N/A
burglar proofing,0861 752656,sales@maxidor.co.za,http://www.maxidor.co.za,burglar proofing
1ST FOR WOMEN,0860 10 46 12,N/A,N/A,N/A
Maxidor (Pty) Ltd,0861 752656,N/A,N/A,N/A
ENDRES ATTORNEYS,"012-348 5905, 021-348 9316",N/A,N/A,N/A
EAST RAND FUNERAL SERVICES DIRECTORS,"011-425 1941, 011-425 0276",N/A,N/A,N/A
GENERAL IMPORT-EXPORT (AFRICA),"011-4991201, 011-4934775",N/A,N/A,N/A
House Of Monatic,031 3054626,N/A,N/A,N/A
BUSINESS PARTNERS (EAST RAND BOKSBURG),"011-359 2565, 011-395 4150",N/A,N/A,N/A
BUSINESS PARTNERS (JOHANNESBURG) HEAD OFFICE,"011-713 6650, 011-713 6653, 011-713 6600",N/A,N/A,N/A
BUSINESS PARTNERS (WEST RAND),"011-679 1310, 011-679 1110",N/A,N/A,N/A
CAKE FLORA,"011-608 4150, 011-608 4141",N/A,N/A,N/A
LENASIA VOLKWAGEN,"011-213 7600, 011-213 7636",yusus@lenasiavw.co.za,N/A,N/A
M E E (PTY) LTD,"011-494 3220, 011-494 2207",info@mee.co.za,N/A,N/A
MAKAULA ZILWA INC,"011-262 0790, 011-262 0840",N/A,N/A,N/A
GEZA BATHROOM & UNITS,"011-622 2004, 011-622 2372",geza@icon.co.za,N/A,N/A
INTERNATIONAL SLABS SALES-HEAD OFFICE,"011-822 1701, 011-822 1350",info@interslab.co.za,N/A,N/A
AUTO BAHN MOTORS,"034-995 1476, 034-995 1644",erich@autobahn.co.za,N/A,N/A
MARKALAO RECRUITMENT CC,"011-902 2590, 086-558 2813",langa@markalaorecruitment.co.za,N/A,N/A
RAUMIX (PTY) LTD,"012-652 0107, 012-652 0111",N/A,N/A,N/A
CORICRAFT (BOKSBURG),"011 918 7897, 011 918 7899",ermanager@coricraft.co.za,N/A,N/A
CORICRAFT (CLEARWATER),"011 991 5300, 011 475 0254",clmanager@coricraft.co.za,N/A,N/A
CORICRAFT (CRESTA),"011 431 2970, 011 431 3253",csmanager@coricraft.co.za,N/A,N/A
CORICRAFT (DESIGN QUARTER),"011 465 6385, 011 465 6128",dqmanager@coricraft.co.za,N/A,N/A
CORICRAFT (EAST GATE),"011 615 2092, 011 615 2085",egmanager@coricraft.co.za,N/A,N/A
CORICRAFT (FOURWAYS),"011 465 3595, 011 465 5782",fwmanager@coricraft.co.za,N/A,N/A
CORICRAFT (MORNINGSIDE),"011 884 1349, 011 884 2277",mvmanager@coricraft.co.za,N/A,N/A
CORICRAFT (SANDTON),"011 784 0150, 011 784 1639",scmanager@coricraft.co.za,N/A,N/A
CORICRAFT (THE GLEN),"011-435 0145, 011-436 8700",tgmanager@coricraft.co.za,N/A,N/A
CORICRAFT (WOODMEAD),"011-656 9682, 011-656 9590",wmmanager@coricraft.co.za,N/A,N/A
DENOON SAMPSON HDLOVU INC.,011-666 9600,andrew@denoon.co.za,N/A,N/A
FIRE SECURE SYSTEMS CC,"011-802 4357, 011-802 4358",fss@faagroup.co.za,N/A,N/A
MUON ELECTRONICS CC,011-325 6134,ghdawes@africa.com,N/A,N/A
MICROSOLVE CC,"011-493 5114, 011-493 5110",microsolve@icon.co.za,N/A,N/A
INDUSTRIAL ACID PROOFING (PTY) LTD,"011-452 6988, 011-452 4104",INFO@IAPSA.CO.ZA,N/A,N/A
SA POWER SERVICE (JOHANNESBURG),"011-462 8810, 011-704 5775",sophia@sapower.co.za,N/A,N/A
IPEC ELECTRICAL & PLUMBING,078 384 9684,chenai2005@gmail.com,N/A,N/A
ANDERSON VOGT 7 PARTNERS,"011-452 2838, 011-452 2998",eng.design@iafrica.com,N/A,N/A
NORTON ROSE SOUTH AFRICA,"011-685 8500, 011-301 3200",N/A,N/A,N/A
RENAULT SOUTH AFRICA (PTY) LTD,"011-607 7300, 011-607 7385",N/A,N/A,N/A
MOTOR CAR & TRUCK DISTRIBUTORS,"011-392 6360, 011-392 6263",N/A,N/A,N/A
LABOUR LAW MANAGEMENT CONSULTING,"011 888 7944, 011 782 0664, 082 8522 973",ivan@labourlawadvice.co.za,N/A,N/A
ROOTH & WESSELS INC,"012-452 4000, 021-346 7609",N/A,N/A,N/A
ROOTH & WESSELS INC.,"012-452 4000, 021-346 7609",N/A,N/A,N/A
JUMBO CASH & CARRY (CROWN MINES),"011 839 4002, 011 839 4440",N/A,N/A,N/A
JUMBO CASH & CARRY (GAUTENG HEAD OFFICE),"086 611 8972, 011 532 3600, 086 501 9933",N/A,N/A,N/A
AVBOB (ALBERTON),011-907 3233,N/A,N/A,N/A
HYPER PAINT (PTY)LTD,011-493 5937,N/A,N/A,N/A
AVBOB (ALIWAL NORTH),051-633 3161,N/A,N/A,N/A
AVBOB (BEAUFORT-WES),023-414 2216,N/A,N/A,N/A
AVBOB (BENONI),011-421 5842,N/A,N/A,N/A
AVBOB (BOKSBURG),011-917 5041,N/A,N/A,N/A
AVBOB ( BRAKPAN),011-740 0115,N/A,N/A,N/A
AVBOB (BRONKHORSTSPRUIT),013-923 3092,N/A,N/A,N/A
AVBOB (BURGERSFORT),013-231 8200,N/A,N/A,N/A
AVBOB ( CENTUROIN),012-663 5008,N/A,N/A,N/A
AVBOB (EDENVALE),011-609 7003,N/A,N/A,N/A
MARANG FINANCIAL SERVICES,011-781 3957,nokutulan@marangfinancial.co.za,N/A,N/A
INTERNATIONAL SLAB SALES,"011-822 1701, 011-822 1350",INFO@INTERSLAB.CO.ZA,N/A,N/A
MARKALAO RECURITMENT,"011-902 2590, 086 558 2813",langa@markalaorecruitment.co.za,N/A,N/A
AC RECRUITMENT CC,011-979 1053,BETTY.ACR@TELKOMSA.NET,N/A,N/A
CORICRAFT (BEDWORTH CENTRE ),"016 985 5406, 016 985 5335",bvmanager@coricraft.co.za,N/A,N/A
AVBOB (GERMISTON),011-825 3667,N/A,N/A,N/A
AVBOB (GROBLERSDAL),013-262 2156,N/A,N/A,N/A
AVBOB (HEIDELBERG),016-341 2389,N/A,N/A,N/A
AVBOB HORISON),011-766 3145,N/A,N/A,N/A
AVBOB (IKWEZI),011-988 2457,N/A,N/A,N/A
KAPCI COATING SA cc,"011-834 1259, 011-834 1252",N/A,N/A,N/A
AVBOB (JOHANNESBURG),011-482 1027,N/A,N/A,N/A
AVBOB ( KEMPTON PARK),011-975 5845,N/A,N/A,N/A
AVBOB (KREMETORIUM),011-391 6484,N/A,N/A,N/A
AVBOB (KRUGERSDORP),011-953 3808,N/A,N/A,N/A
AVBOB (MEYERTON),016-362 1048,N/A,N/A,N/A
AVBOB (MIDDLEBURG),013-282 4771,N/A,N/A,N/A
AVBOB (NELSRUIT),013-752 2695,N/A,N/A,N/A
EXECUTOTS DAYCARE,011-784 7184,N/A,N/A,N/A
AVBOB (NIGEL ),011-814 4853,N/A,N/A,N/A
AVBOB (POTCHEFSTROOM),018-294 3269,N/A,N/A,N/A
AVBOB (RANDFONTEIN),011-693 2560,N/A,N/A,N/A
AVBOB (ROODEPOORT),011-760 1158,N/A,N/A,N/A
AVBOB (ROODEPOORT-HORISON),011-766 3145,N/A,N/A,N/A
AVBOB (SASOLBURG),016-976 0790,N/A,N/A,N/A
AVBOB (SOWETO),011-980 2190,N/A,N/A,N/A
AVBOB (SPRINGS),011-811 2393,N/A,N/A,N/A
AVBOB (VANDERBILIJPARK),016-933 9734,N/A,N/A,N/A
AVBOB (VEREENIGING),016-421 4054,N/A,N/A,N/A
AVBOB (WITBANK),013-656 2502,N/A,N/A,N/A
CAPITAL CIVIL & BUILDING CONSTRUCTION,"011-979 1175, 083-250 5532",N/A,N/A,N/A
