Business Name,Description,Possible Address,Phone Numbers,Emails,Websites
KITCHEN FITTINGS & ACCESSORIES,"CARELINE CENTRE
21 BINDERS STREET
PAROW
7500
TEL   : 021 939 8120","21 BINDERS STREET
PAROW
7500
TEL   ; 021 939 8120",,,
KITCHEN FITTINGS & ACCESSORIES,"Hazelwood Designs CC 
Address: 
unit 28
114 canada rd
industria
johannesburg
2093
 
Main: 
011 4741183
 
Category: 
kitchen units","28
114 canada rd
industria
johannesburg
2093
 
Main; 011 4741183
 
Category",011 4741183,,
KITCHEN FITTINGS & ACCESSORIES,"CARELINE PRODUCTS (PTY) LTD
141 OXFORD ROAD
PARKWOOD
JOHANNESBURG
2193
TEL   : 011 447 4402
FAX   : 011 447 4405","141 OXFORD ROAD
PARKWOOD
JOHANNESBURG
2193
TEL   ; 011 447 4402
FAX   ; 011 447 4405",,,
EVENT ORGANISERS,"Aurant Communications 
Address: 
hall 6b gallagher est
19 richards dve
midrand
Main: 
011 8059350
Fax: 
011 8059356
Email: 
info@dng.co.za
Homepage: 
http://www.dng.co.za
Category: 
event organisers &/or services
Keywords","19 richards dve
midrand
Main; 011 8059350
Fax; 011 8059356
Email","011 8059350, 011 8059356",info@dng.co.za,http://www.dng.co.za
GASKETS,"Gasketman CC 
Address: 
crockerindprk
crocker rd
wadeville
germiston
1428
 
Main: 
011 8654347
 
Fax: 
011 8654336
 
Cellular: 
082 9251497
 
Email: 
gasketman@mweb.co.za
 
Category: 
gaskets
 
Key","1428
 
Main; 011 8654347
 
Fax; 011 8654336
 
Cellular; 082 9251497
 
Email","011 8654347, 011 8654336, 082 9251497",gasketman@mweb.co.za,
Gas,"Red Lion Worx 
Main: 
082 8070207
 
Fax-To-Email: 
0866 157292
 
Cellular: 
084 7005030
 
Email: 
tim@redlionworx.com
 
Homepage: 
http://www.redlionworx.co.za
 
Category: 
gas installations","082 8070207
 
Fax-To-Email; 0866 157292
 
Cellular; 084 7005030
 
Email","082 8070207, 084 7005030",tim@redlionworx.com,http://www.redlionworx.co.za
Surface Mining Process Equipment,"Komatsu Southern Africa (PTY) LTD 
Address: 
isando rd
isando
kempton park
1600
 
Main: 
011 9231000
 
Fax: 
011 9231111
 
Email: 
info@komatsu.co.za
 
Homepage: 
http://www.komatsu.co.za
 
Category","1600
 
Main; 011 9231000
 
Fax; 011 9231111
 
Email","011 9231000, 011 9231111",info@komatsu.co.za,http://www.komatsu.co.za
Cleaning Services,"Tsebo Outsourcing Group 
Address: 
2 fedics house
3 arnold rd
rosebank
johannesburg
2196
 
Main: 
011 4415300
 
Fax: 
011 4405657
 
Email: 
pwelchman@fedics.co.za
 
Homepage: 
http://www.tsebo.co.za
&nbs","2 fedics house
3 arnold rd
rosebank
johannesburg
2196
 
Main; 011 4415300
 
Fax; 011 4405657
 
Email","011 4415300, 011 4405657",pwelchman@fedics.co.za,http://www.tsebo.co.za
burglar proofing,"Maxidor (PTY) LTD 
Main: 
0861 752656
 
Email: 
sales@maxidor.co.za
 
Homepage: 
http://www.maxidor.co.za
 
Category: 
burglar proofing
 
Keywords: 
domestic | shuttering | security | barriers | retractable |","0861 752656
 
Email",0861 752656,sales@maxidor.co.za,http://www.maxidor.co.za
1ST FOR WOMEN,"TEL:0860 10 46 12
TRADE HEADING
CAR,HOME,LIFE (INSURANCE)","0860 10 46 12
TRADE HEADING
CAR,HOME,LIFE ",0860 10 46 12,,
