Name,Telephone,Fax,Cell,Address,Email,Website,Services
ED – U – COLLEGE PRIVATE SCHOOL (VAAL),016 455 1097 (HIGH SCHOOL) 016 100 0764 (PRIMARY SCHOOL),086 635 0632,064 709 2954,"31 HOFMEYER AVENUE, VEREENIGING","admin@educollege.co.za, info@educollege.co.za",www.educollegevaal.co.za,PRIVATE SCHOOL
PROVANTAGE MEDIA GROUP,086 177 682,011 543 7667,Not available,"Provantage House, 7 York Street Cnr Bond Street Ferndale, Randburg, Johannesburg, South Africa",info@provantage.co.za,www.provantage.co.za,MEDIA CONSULTANTS AND ADVERTISING AGENCIES
4PL. COM (PTY) LTD,012 345 5046,012 345 5024,Not available,"Irene Corporate Corner, 50 Via Salara Cres, Irene Farm Village, Centurion, South Africa 7530","cloots@fourpl.com, reception@fourpl.com",www.fourpl.com,LOGISTIC SERVICES
TWIZZA (PTY) LTD - JOHANNESBURG,011 467 3065/ 010 055 1800,Not available,Not available,"Laneshaw Street, Klipfontein 12-Lr, Lethabong 1609",marketing@twizza.co.za,www.twizza.co.za,BEVERAGE COMPANY
AECI MINING CHEMICALS (PTY) LTD – WOODMEAD,011 806 8700/ 011 806 8701,086 174 6646/ 086 729 9969,Not available,"AECI Place, 24 The Woodlands, Woodlands Drive, Woodmead, Sandton, South Africa 2191",Patrick.Dicks@aeciworld.com,www.aeciworld.com,MINING CHEMICAL MANUFACTURERS & DISTRIBUTORS
AECI MINING CHEMICALS (PTY) LTD – SASOLBURG,016 973 9600/ 016 973 9601,Not available,Not available,"CNR. Bergius Road & Henry Street, Sasolburg 1947",Patrick.Dicks@aeciworld.com,www.aeciworld.com,MINING CHEMICAL MANUFACTURERS & DISTRIBUTORS
AECI MINING CHEMICALS (PTY) LTD – MODDERFONTEIN,011 606 0000,Not available,Not available,"1 Platinum Drive, Longmeadow Business Estate, Modderfontein, Johannesburg 1645",Patrick.Dicks@aeciworld.com,www.aeciworld.com,MINING CHEMICAL MANUFACTURERS & DISTRIBUTORS
BENONI PRIMARY SCHOOL,011 421 1486,011 421 5235,Not available,"Cradock Street, Actionville, Benoni 1501",benoniprimary@gmail.com,Not available,Schools/ Education
INTERIORS FOR CHANGE (PTY) LTD,011 484 8442,011 484 1231,Not available,"Building 2, Ground Floor, 101 Central Street, Houghton, Johannesburg 2198",santag@i4c.co.za,www.i4c.co.za,INTERIOR DESIGNERS
TAAHIR FOODS (PTY) LTD,011 830 1184,086 725 0041,Not available,"85 Planet Avenue Crown, Ext 7, Johannesburg, South Africa 7530",moosa@taahirhalaal.co.za,www.taahirhalaal.co.za,BUSINESS SERVICES
KITTY PRE-PRIMARY SCHOOL,011 760 2997,Not available,Not available,"34 Bickel Street, Horizon, Roodepoort 1724",kittyadmin@kittypre-primary.co.za,www.kittypre-primary.co.za,PRE – PRIMARY AND NURSERY SCHOOL
ULTRA LIQUORS (PTY) LTD – WESTGATE,011 768 0123,Not available,Not available,Not available,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",www.ultraliquors.co.za,SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
