Name,Category,Phone,Email,Description
ABSA,Financing,012 366 5982 / 082 525 3996,,"Our Purpose and Goal
At Absa, we are driven by our Purpose to help people achieve their ambitions in the right way. This lays the foundation to reach our Goal; to become the financial services provider of choice.
Our Purpose and Goal underpin our effort..."
SM Architectural & Town-Planning Service cc,Town Planning,072 798 5428,,"Are you in search of affordable drafting services for your building plans? You've come to the right place! Our drafting services are reliable, cost-effective, and designed to meet all of your needs. SM Architectural &amp; Town-planning Services cc opened..."
National Small Business. & Cooperative Association,Gauteng,082 368 7466,,"The National Small Business &amp; Cooperative Association offers a range of Membership options for individuals, private companies and other Business Associations, Chambers, Forums and Non-profit Organizations interested in supporting and advancing the e..."
Lydenburg Mashishing Business Chamber,Mpumalanga,064 621 0972,,
AGS Kerk,Associated Partnerships,013 235 2509,,
Local Choice Pharmacy,Pharmacies,(013) 235-2321,,
Volle Evangelie Kerk / Full Gospel Church,Associations and Forums,0846885007,,
Capital City Business Chamber,Gauteng,012 542 1308,,"The Capital City Business Chamber (CCBC) is an innovative organization working for the success of the Business Community in the Capital City (Pretoria/Tshwane) of South Africa. The CCBC covers the whole of the City of Tshwane with a focus on:
1. Promotin..."
Stegmanns Inc,Directory,086 1333 402,,"Established in 1890 in Pretoria, Stegmanns Inc. (“Stegmanns”) is a well-respected legal partner that offers appropriate legal solutions and superior levels of client service to meet the dynamic legal requirements and challenges of South African corporates..."
FinanciallyFit Group,Directory,0126631899,,"We help businesses and individuals to become Financially FiT for Life through financial consulting, training, accounting and tax services."
Aon South Africa (Pty) Ltd,Insurance,0860 100 404,,"About AonAon is a leading global professional services firm providing advice and solutions in Risk, Retirement and Health at a time when those topics have never been more important to the global economy. Aon develops insights - driven by data and delivere..."
Cameron Consulting,Directory,0827135665,,"HR Specialist, consulting on Employee Contracts, Job Descriptions, Performance Management, HR Analytical Skills, Coaching, Disciplinary Management and more. A strong consulting professional with a Master of Business Administration (MBA) degree."
Uniquely You,Directory,0829073472,,"I help individuals, couples &amp; teams awake to your potential and greatness."
Dynamic OHS Consultants,Directory,0795187330,,"We change lives by saving lives. Protecting the health and safety of all South Africans, one workplace at a time and to ensure all workers return to their families at the end of each workday. Dynamic OHS Consultants (DOC) serves the community by promoting..."
Bluecare Insurance Brokers,Directory,082 494 5624,,"Bluecare is a registered financial service provider: Fsb nr 25045
Started as a small risk brokerage in 2006.
The Principle member/broker gained experience at Liberty Life since 2003.
Principle broker became independent in 2006"
Go3D,Directory,0782477757,,"Prototyping, 3D Printing, Mould making, Casting, Painting, Prop making"
Business Development Association of Southern Africa (BD...,Directory,0827742413,,Business Development Association of Southern Africa (BDASA) help Business Development Professionals &amp; entrepreneurs find and capture business opportunities
Friday Club Network,Directory,076 948 2641,,The Business Initiative was established&nbsp;to fill a significant gap that has&nbsp;been discovered&nbsp;in the business market today. Within the old political&nbsp;dispensation&nbsp;business&nbsp;was executed&nbsp;under a set of rules that no longer app...
Kitchen Project Management Inc,Directory,0836537570,,Kitchen Project Management Inc provides expert guidance throughout the whole design process and doesn’t stop until their clients are 100 percent happy with the finished look and service you chose. They believe the little things make the biggest difference...
Kwaramba electrical contractors,Directory,0829599032,,"We specialize in the design, installation, maintenance and repairs of electrical systems including smart home electrical installations. We also do network signal boosting- Never drop or miss a call due to network issues."
C Small Consulting,Directory,066 219 4207,,To purposefully provide clients with ethical and professional recruitment and related HR services. Having a clear understanding of a client’s business requirements enables the ability to source the right candidate who best meets the criteria of the positi...
Pop The Champagne Pty Ltd,Directory,012 941 9826,,"Our passion for seamless events led us to form Pop the Champagne in 2015, an outlet for our bubbling enthusiasm for events. Our passionate enthusiasm is evident in every event we create with our clients.
Our mission is to turn your dream event into a rea..."
Bluestream Consulting,Directory,0833040987,,At&nbsp;Bluestream&nbsp;we are inspired and intrigued by this very specific challenge. How do companies achieve and create long-term&nbsp; future competitiveness?&nbsp;“Innovation is rapidly becoming the critical success factor of the twenty-first century...
First Step Life & Investment Planners (Pty) Ltd,Directory,012 665 1241,,"First Step Life &amp; Investment Planners (Pty) Ltd established in 2007, is the brain-child of Director, Johan de Clerk, who envisaged the business and growth potential of the company within the Insurance Industry. In an already crowded and competitive in..."
GR8BIZ,Directory,0824139151,,GR8BIZ™ is an online business directory that showcases those businesses that aspire to Greatness and reassures consumers that they are dealing with businesses that commit themselves to living up to their brand promises. Operated by former Ombudsman Adv Ne...
All Technology Solutions (ATS),Directory,010 493 4710,,"ATS Centurion officially opened on 03 June 2019 in Jean Avenue right in the heart of Centurion and is a franchise of ATS Group, the first part of which was started in 2000. Our mission is to provide specialised Cloud Based VoIP (Voice over IP) solutions a..."
HBM Edu Tech,Directory,082 321 8120,,"We create cost effective online classrooms on a Learning Management System (LMS). We also provide:• LMS training: Administrator and/or Course builder, etc.• eLearning content development – which is in high demand.• Manage and monitor student performances...."
Sentinel Risk Management,Directory,082 953 1594,,"Sentinel Risk Management, the company that has your best interests at heart. Sentinel Risk Management has successfully completed various Risk Assessments, Close Protection assignments and Security Threat Analyses in South Africa, Africa, the Middle East,..."
For Your Eyes Only,Directory,012 807 6919 / 4842,,"We started building For Your Eyes Only early 2015. Since then our focus has always been on providing 100% satisfaction to our customers.
We value each customer as a member of the FYEO family by giving them the best service possible and making them feel r..."
Simplistic Accounting,Directory,087 898 8401,,"Simplistic Accounting is a Chartered Accountancy practice specializing in cloud-based accounting solutions and system implementations to optimize the financial function in small and medium enterprises.
We focus on your accounting, so you can focus on you..."
Small Business Institute (SBI),National Chambers,012 348 5440,,"SBI stands for a free-market approach to grow SMEs, create jobs, and provide ethical leadership. We envision a country where small- and medium-sized businesses are supported by thoughtful, evidence-based policy that limits obstacles to their success and s..."
Franchise Association of South Africa,Associations and Forums,011 615 0359,,"South Africa can be proud to hold the torch for franchising in Africa. As the oldest internationally recognized Franchise Association on the continent, FASA has been responsible for the roll-out of ethical franchising in South Africa. It was founded in 19..."
Alberton & JHB South Business Forum,Gauteng,011 867 1069                                                                                            011 867 1069,,"AJSBF is affiliated with the&nbsp;AHI, affording us the opportunity to interact on National and Provincial level as well as direct access to expert views, business material and quality presenters.
Our dream is to incorporate the majority of the business..."
