Name,Telephone,Fax,Cell,Address,Email,Website,Services
North West,Not available,Not available,Not available,Not available,Not available,Not available,Not available
ONE STOP CLEARING (PTY) LTD,Number: 018 642 1599,Number: 086 613 8758,Not available,"1 Diederick Street, Zeerust, South Africa",onestop@telkomsa.net,Address: www.onestopclearing.co.za,Provided : IMPORT AND EXPORT SERVICES
ULTRA LIQUORS (PTY) LTD – RUSTENBURG (PRESIDENT MBEKI DR),Number: 014 592 1357,Not available,Not available,headoffice@ultraliquors.co.za / support@ultraliquors.co.za,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",Address: www.ultraliquors.co.za,Provided: SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
ULTRA LIQUORS (PTY) LTD – RUSTENBURG,Number: 014 592 9093,Not available,Not available,headoffice@ultraliquors.co.za / support@ultraliquors.co.za,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",Address: www.ultraliquors.co.za,Provided: SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
ULTRA LIQUORS (PTY) LTD – PLATINUM SQUARE,Number: 014 537 2664,Not available,Not available,headoffice@ultraliquors.co.za / support@ultraliquors.co.za,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",Address: www.ultraliquors.co.za,Provided: SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
ULTRA LIQUORS (PTY) LTD – NORTHAM,Number: 014 784 0118,Not available,Not available,headoffice@ultraliquors.co.za / support@ultraliquors.co.za,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",Address: www.ultraliquors.co.za,Provided: SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
ULTRA LIQUORS (PTY) LTD – KLERKSDORP (LEENHUIS),Number: 018 469 1009,Not available,Not available,headoffice@ultraliquors.co.za / support@ultraliquors.co.za,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",Address: www.ultraliquors.co.za,Provided: SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
ULTRA LIQUORS (PTY) LTD – KLERKSDORP (FLAMWOOD),Number: 018 468 2181,Not available,Not available,headoffice@ultraliquors.co.za / support@ultraliquors.co.za,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",Address: www.ultraliquors.co.za,Provided: SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
ULTRA LIQUORS (PTY) LTD – KLERKSDORP (CHRIS HANI),Number: 018 469 1009,Not available,Not available,headoffice@ultraliquors.co.za / support@ultraliquors.co.za,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",Address: www.ultraliquors.co.za,Provided: SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
ULTRA LIQUORS (PTY) LTD – BRITS,Number: 012 252 1122,Not available,Not available,headoffice@ultraliquors.co.za / support@ultraliquors.co.za,"headoffice@ultraliquors.co.za, support@ultraliquors.co.za",Address: www.ultraliquors.co.za,Provided: SUPPLIERS/ DISTRIBUTORS & WHOLESALERS OF ALCOHOL
"ORION HOTEL (Katse LodgeKatse Dam, LESOTHO)",Hotel +266 2891 0202 Toll free 086 199 1199 Central Reservations +27 (0)11 403 1218,Not available,Not available,Katse Village Bokong Lesotho Postal Address:   P.O. Box 1377 Ficksburg 9730 | Postal: P.O. Box 1377 Ficksburg 9730,Not available,Not available,Not available
"ORION HOTEL (Mohale LodgeMohale Dam, LESOTHO)",Hotel +266 2293 6432 Toll free 086 199 1199 Central Reservations +27 (0)11 403 1218,Not available,Not available,Likalaneng Ha Mohale Postal Address:   P.O. Box A363 Maseru Lesotho 100 | Postal: P.O. Box A363 Maseru Lesotho 100,Not available,Not available,Not available
CORICRAFT (RUSTENBURG),) 014 537 6501 (Fax) EMAIL:rbmanager@coricraft.co.za,) EMAIL:rbmanager@coricraft.co.za,Not available,"SHOP 16, WATERFALL MALL VALUE CENTRE, AUGRABIES STREET, WATERFALL PARK,RUSTENBURG",rbmanager@coricraft.co.za,Not available,Not available
AVBOB(KLEKSDORP),018-462 9784,Not available,Not available,19 KOCK STREET KLERKSDORP,Not available,Not available,Not available
AVBOB (LITCHENBURG),L:018-632 3144/87,Not available,Not available,57 TRANSVAAL STREET,Not available,Not available,Not available
AVBOB (MAFIKENG),018-381 6276,Not available,Not available,26 HATCH STREET,Not available,Not available,Not available
AVBOB (RUSTENBURG),014-592 8293,Not available,Not available,59 NELSON MANDELA STREET,Not available,Not available,Not available
AVBOB (RUSTENBURG IND),014-597 0300/1/2,Not available,Not available,"CNR WULFSE & WATERVAL LANE,RUSTENBURG",Not available,Not available,Not available
AVBOB (WOLMARANSSTAD),018-596 1304,Not available,Not available,33 PIET RETIEF STREET,Not available,Not available,Not available
AVBOB (ZEERUST),018-642 1561,Not available,Not available,12 VOORTREKKER STREET ZEERUST 2865,Not available,Not available,Not available
FOKLAKE INVESTMENTS (PTY) LTD,014-592 4080 FAX:014-592 4739,014-592 4739,Not available,"155 KORK KCK,NORTH WEST",Not available,Not available,Not available
NORTH WEST UNIVERSITY (N W U),018-389 2111 FAX:018-389 2375,018-389 2375,Not available,"ALBERT LUTHULI STREET,MMABATHO,NORTH WEST",Not available,Not available,Not available
ORION HOTEL (Dithõlõ Game Lodge) NORTH WEST,Hotel +27 083 609 6594 Toll free 086 199 1199 Central Reservations +27 (0)11 403 1218,Not available,Not available,"Kromdraai Road,Klippoortjie,564-KQ,Limpopo | Postal: P.O. Box 31416 Braamfontein",Not available,Not available,Not available
"ORION HOTELS (Euphoria Hotel, Golf Estate & Spa) Naboomspruit, Waterberg, North-West",Hotel +27 (0)14 743 5000 Toll free 086 199 1199 Central Reserv,Not available,Not available,R101 Modimolle road Mookgophong / Naboomspruit 0560 Postal Address:   PO Box 888 Naboomspruit 0560 | Postal: PO Box 888 Naboomspruit 0560,Not available,Not available,Not available
"ORION HOTEL (Safari LodgeRustenburg, North-West)",Hotel +27 (0)14 597 9000 Toll free 086 199 1199 Central Reservations +27 (0)11 403,Not available,Not available,Donkerhoek Road Rustenburg 0300 Postal Address:   P.O. Box 687 Rustenburg 0300 | Postal: P.O. Box 687 Rustenburg 0300,Not available,Not available,Not available
NELSPRUIT ANIMAL HOSPITAL,013-752 8271 FAX:013-753 3417,013-753 3417,Not available,"14 FERREIRA STREET,NELSPRUIT",Not available,Not available,Not available
SEDIKWA GUEST HO,018-381 0639 FAX: 018-381 6297,018-381 6297,Not available,57 KIRSTENBOSH BOULVARD RIVIERA PARK MAFIKENG,Not available,Not available,Not available
M M E MANUFACTURING CO (PTY) LTD,018-788 6674 FAX: 018-786 1479,018-786 1479,Not available,28 SKAG STREET INDUSTRIAL SITES CARLETONVILLE,Not available,Not available,Not available
BENADE KABINETMAKERS,018-469 3637 FAX: 018-469 3637,018-469 3637,Not available,NEUTRONWEG 37 URANIAVILLE KLERKSDORP,Not available,Not available,Not available
RAND MUTUAL ASSURANCE,014-594 9200 EMAIL: rustenburgmail@randmutual.co.za,Not available,Not available,65 LOOP STREET RUSTENBURG,rustenburgmail@randmutual.co.za,Not available,Not available
PENNY LANE B & B,018-468 4183 FAX: 086-537 6942 EMAIL: penny@telkomsa.net,086-537 6942 EMAIL: penny@telkomsa.net,Not available,SHIRLEY AVENUE FLAMWOOD KLERKSDORP,penny@telkomsa.net,Not available,Not available
PICK 'N PAY ZEERUST FAMILY STORE,018-642 1100 FAX: 086-657 0851 EMAIL: pick-pay@gds.co.za,086-657 0851 EMAIL: pick-pay@gds.co.za,Not available,53 CHURCH STREET,pick-pay@gds.co.za,Not available,Not available
BOGO LEGABA,018-381 6801 FAX: 018-381 6881 EMAIL: letsholo23@gmail.com,018-381 6881 EMAIL: letsholo23@gmail.com,Not available,6 INTERLAKEN AVENUE RIVERA MAFIKENG,letsholo23@gmail.com,Not available,Not available
ELTEC CC,014-777 1433 FAX: 014-777 1433,014-777 1433,Not available,DEENA STREET THAMBAZIMBA NORTH WEST,Not available,Not available,Not available
PHAKISA HOLDINGS (PTY) LTD,014-596 6226 EMAIL: madeleni@phakisahldj.co.za,Not available,Not available,97 HEEFER STREET CASHAN RUSTENBURG,madeleni@phakisahldj.co.za,Not available,Not available
M & J PERSONNEL CONSULTANTS CC,018-381 0770 FAX: 018-381 2870 EMAIL: liebenburg@telkomsa.net,018-381 2870 EMAIL: liebenburg@telkomsa.net,Not available,24 B WARREN STREET MAFIKENG,liebenburg@telkomsa.net,Not available,Not available
RECLAM,014-769 6830 FAX: 086-211 3565 EMAIL: dmosimane@reclam.co.za,086-211 3565 EMAIL: dmosimane@reclam.co.za,Not available,LIGHT INDUSTRIAL AREA 794 PIETER GROBELAAR STREET LEPHALALE,dmosimane@reclam.co.za,Not available,Not available
NIMAG (PTY),014-577 1330 FAX: 014-577 1330 EMAIL: nim001@worldonline.co.za info@nimaggroup.com,014-577 1330 EMAIL: nim001@worldonline.co.za info@nimaggroup.com,Not available,NIMAG (PTY) LTD POTION 33 FARM STEENKOPPIES RUSTENBURG PRETORIA,"nim001@worldonline.co.za, info@nimaggroup.com",Not available,Not available
MARTINS FUNERAL SERVICES,018-469 1155 FAX: 018-469 3356,018-469 3356,Not available,57 JOE SLOVO ROAD KLERKSDORP,Not available,Not available,ADDRESS: 57 JOE SLOVO ROAD KLERKSDORP
AEROPINK,018-294 8305 FAX: 018-294 6717 EMAIL: info@leemining.co.za,018-294 6717 EMAIL: info@leemining.co.za,Not available,35 IKAGENG ROAD POTCHEFSTROOM,info@leemining.co.za,Not available,Not available
AEROPINK .,018-294 8305 FAX: 018-294 6717 EMAIL: info@leemining.co.za,018-294 6717 EMAIL: info@leemining.co.za,Not available,35 IKAGENG ROAD POTCHEFSTROOM,info@leemining.co.za,Not available,Not available
